date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,warehouse_zone,damaged_units,reserved_units,inventory_snapshot_quality
2024-06-01,SKU0001,181,21,17,159,A,1,6,Good
2024-06-08,SKU0001,134,21,17,159,B,1,5,Good
2024-06-15,SKU0001,108,137,17,159,D,1,3,Manual Check
2024-06-22,SKU0001,89,166,17,159,A,1,4,Good
2024-06-29,SKU0001,61,76,17,159,A,0,2,Good
2024-07-06,SKU0001,22,201,17,159,B,1,2,Good
2024-07-13,SKU0001,0,103,17,159,A,0,0,Good
2024-07-20,SKU0001,0,206,17,159,B,0,0,Late Update
2024-07-27,SKU0001,0,24,17,159,C,0,0,Good
2024-08-03,SKU0001,0,157,17,159,D,0,0,Good
2024-08-10,SKU0001,0,94,17,159,B,0,1,Late Update
2024-08-17,SKU0001,0,20,17,159,C,0,0,Good
2024-08-24,SKU0001,0,16,17,159,A,0,0,Good
2024-08-31,SKU0001,0,106,17,159,D,0,0,Good
2024-09-07,SKU0001,0,159,17,159,A,0,0,Good
2024-09-14,SKU0001,0,25,17,159,D,0,0,Good
2024-09-21,SKU0001,0,111,17,159,D,0,0,Good
2024-09-28,SKU0001,0,96,17,159,A,0,0,Good
2024-10-05,SKU0001,0,97,17,159,B,0,0,Good
2024-10-12,SKU0001,0,134,17,159,A,0,0,Good
2024-10-19,SKU0001,0,224,17,159,B,0,0,Good
2024-10-26,SKU0001,0,12,17,159,A,0,0,Good
2024-11-02,SKU0001,0,14,17,159,D,0,0,Good
2024-11-09,SKU0001,0,156,17,159,D,0,0,Good
2024-11-16,SKU0001,0,14,17,159,D,0,0,Good
2024-11-23,SKU0001,0,117,17,159,D,0,0,Good
2024-11-30,SKU0001,0,13,17,159,A,0,0,Good
2024-12-07,SKU0001,0,171,17,159,B,0,0,Good
2024-12-14,SKU0001,0,15,17,159,B,0,0,Good
2024-12-21,SKU0001,0,14,17,159,D,0,0,Good
2024-12-28,SKU0001,0,125,17,159,A,0,0,Good
2025-01-04,SKU0001,0,18,17,159,C,0,0,Good
2025-01-11,SKU0001,0,18,17,159,A,0,0,Good
2025-01-18,SKU0001,0,15,17,159,A,0,0,Good
2025-01-25,SKU0001,1,221,17,159,A,0,0,Good
2025-02-01,SKU0001,0,114,17,159,A,0,0,Good
2025-02-08,SKU0001,0,156,17,159,D,0,1,Good
2025-02-15,SKU0001,0,19,17,159,A,0,0,Good
2025-02-22,SKU0001,0,139,17,159,C,0,0,Good
2025-03-01,SKU0001,0,184,17,159,B,0,0,Good
2025-03-08,SKU0001,0,21,17,159,C,0,0,Good
2025-03-15,SKU0001,0,22,17,159,A,0,0,Good
2025-03-22,SKU0001,0,23,17,159,B,0,0,Manual Check
2025-03-29,SKU0001,2,19,17,159,B,0,0,Good
2025-04-05,SKU0001,0,173,17,159,B,0,0,Manual Check
2025-04-12,SKU0001,0,19,17,159,B,0,0,Manual Check
2025-04-19,SKU0001,0,18,17,159,B,0,0,Good
2025-04-26,SKU0001,0,20,17,159,B,0,0,Late Update
2025-05-03,SKU0001,0,14,17,159,B,0,0,Good
2025-05-10,SKU0001,0,201,17,159,D,0,0,Good
2025-05-17,SKU0001,0,20,17,159,D,0,0,Late Update
2025-05-24,SKU0001,0,204,17,159,A,0,0,Good
2025-05-31,SKU0001,0,13,17,159,A,0,0,Good
2025-06-07,SKU0001,0,16,17,159,A,0,0,Good
2025-06-14,SKU0001,0,15,17,159,B,0,0,Good
2025-06-21,SKU0001,0,16,17,159,C,0,0,Good
