date,sku_id,units_sold,revenue,unit_price,promo_flag,customer_id,order_id,sales_channel,region,discount_pct,ad_spend,page_views,return_units,stockout_flag
2024-06-01,SKU0001,5,6720.92,1344.18,True,CUST00563,ORD100001,Mobile App,West,0.198,460.0,128,0,False
2024-06-02,SKU0001,7,10089.76,1441.39,True,CUST00332,ORD100002,Website,North,0.14,673.5,189,1,False
2024-06-03,SKU0001,10,13793.81,1379.38,True,CUST02175,ORD100003,Website,West,0.177,652.5,183,0,False
2024-06-04,SKU0001,6,7823.75,1303.96,True,CUST01971,ORD100004,Mobile App,West,0.222,614.0,172,0,False
2024-06-05,SKU0001,9,13817.27,1535.25,True,CUST02309,ORD100005,Website,West,0.084,649.0,182,0,False
2024-06-06,SKU0001,11,16777.16,1525.2,True,CUST00286,ORD100006,Marketplace,West,0.09,778.5,219,0,False
2024-06-07,SKU0001,9,14164.21,1573.8,True,CUST01436,ORD100007,Marketplace,West,0.061,596.5,167,0,False
2024-06-08,SKU0001,6,7491.9,1248.65,True,CUST02147,ORD100008,Website,East,0.255,505.5,141,0,False
2024-06-09,SKU0001,6,8809.27,1468.21,True,CUST00479,ORD100009,Mobile App,East,0.124,512.5,143,0,False
2024-06-10,SKU0001,7,9726.06,1389.44,True,CUST02046,ORD100010,Website,West,0.171,607.0,170,1,False
2024-06-11,SKU0001,8,12147.94,1518.49,True,CUST00842,ORD100011,Website,North,0.094,635.0,178,0,False
2024-06-12,SKU0001,5,7232.11,1446.42,True,CUST01331,ORD100012,Website,Central,0.137,554.5,155,0,False
2024-06-14,SKU0001,5,6528.18,1305.64,True,CUST00360,ORD100013,Marketplace,Central,0.221,505.5,141,0,False
2024-06-15,SKU0001,10,12201.57,1220.16,True,CUST01192,ORD100014,Website,West,0.272,659.5,185,0,False
2024-06-16,SKU0001,5,6276.77,1255.35,True,CUST01074,ORD100015,Website,North,0.251,505.5,141,0,False
2024-06-17,SKU0001,0,0.0,1555.37,True,CUST00336,ORD100016,Website,Central,0.072,428.5,119,0,False
2024-06-18,SKU0001,7,11028.34,1575.48,True,CUST00476,ORD100017,Website,East,0.06,589.5,165,0,False
2024-06-19,SKU0001,13,17147.57,1319.04,True,CUST02315,ORD100018,Mobile App,South,0.213,722.5,203,0,False
2024-06-20,SKU0001,5,7894.15,1578.83,True,CUST00357,ORD100019,Mobile App,South,0.058,432.0,120,0,False
2024-06-21,SKU0001,8,10807.11,1350.89,True,CUST01365,ORD100020,Marketplace,South,0.194,656.0,184,0,False
2024-06-22,SKU0001,5,7123.17,1424.63,True,CUST02336,ORD100021,Marketplace,West,0.15,610.5,171,2,False
2024-06-23,SKU0001,7,9421.02,1345.86,True,CUST00161,ORD100022,Marketplace,South,0.197,670.0,188,0,False
